,id,region,price,year,manufacturer,model,fuel,odometer,transmission,size,type,state
69041,7302113266,ventura county,1800,1998,honda,civic,gas,187883,automatic,compact,sedan,ca
69044,7302066338,ventura county,16995,2009,chevrolet,c5500 bus,gas,90921,automatic,full-size,bus,ca
69046,7302031863,ventura county,7950,2016,chevrolet,sonic,gas,63000,automatic,compact,hatchback,ca
69069,7301937177,ventura county,1500,1999,ford,e250,gas,140000,automatic,full-size,van,ca
69079,7301845725,ventura county,12995,2011,toyota,highlander base,gas,122110,automatic,mid-size,SUV,ca
69119,7316872160,visalia-tulare,0,2017,buick,enclave,gas,48112,automatic,full-size,SUV,ca
69120,7316865308,visalia-tulare,16,2016,honda,civic turbo ex-l,gas,142000,automatic,compact,sedan,ca
69123,7316851396,visalia-tulare,5678,2007,ford,convert,gas,107000,automatic,mid-size,convertible,ca
69125,7316834041,visalia-tulare,0,2014,buick,verano,gas,88043,automatic,full-size,sedan,ca
69126,7316828184,visalia-tulare,18995,2018,ford,escape se,gas,44231,automatic,mid-size,SUV,ca
69128,7316796704,visalia-tulare,0,2010,honda,accord ex-l sedan,gas,127578,automatic,full-size,sedan,ca
69130,7316795597,visalia-tulare,0,2017,acura,ilx,gas,18193,automatic,full-size,sedan,ca
69143,7316587604,visalia-tulare,9000,2010,subaru,outback,gas,127000,automatic,mid-size,hatchback,ca
69148,7316450209,visalia-tulare,17500,2006,ford,f-250 super duty lariat,diesel,128000,automatic,full-size,pickup,ca
69149,7316433699,visalia-tulare,56995,2020,ram,1500,gas,25649,automatic,full-size,truck,ca
69150,7316422696,visalia-tulare,0,2015,chevrolet,silverado 1500 lt,gas,62988,automatic,full-size,truck,ca
69151,7316417483,visalia-tulare,0,2015,lexus,is 250,gas,69872,automatic,mid-size,sedan,ca
69152,7316383771,visalia-tulare,19995,2017,toyota,prius prime advanced,hybrid,44632,automatic,compact,hatchback,ca
69159,7316314112,visalia-tulare,11995,2014,chevrolet,cruze,gas,65505,automatic,mid-size,sedan,ca
69173,7316126280,visalia-tulare,0,2019,buick,enclave essence,gas,48997,automatic,mid-size,SUV,ca
69174,7316074899,visalia-tulare,7500,2011,nissan,altima 2.5 sl,gas,133760,automatic,mid-size,sedan,ca
69176,7316028346,visalia-tulare,14700,2013,nissan,nv cargo,gas,114000,automatic,full-size,other,ca
69178,7316005313,visalia-tulare,11500,2017,hyundai,accent,gas,54000,automatic,compact,hatchback,ca
69179,7316003435,visalia-tulare,27500,2012,ram,3500,diesel,138000,automatic,full-size,truck,ca
69181,7315957087,visalia-tulare,1000,2014,gmc,sierra,gas,85155,automatic,full-size,truck,ca
69182,7315954958,visalia-tulare,0,2017,honda,pilot ex-l,gas,49482,automatic,full-size,SUV,ca
69183,7315929101,visalia-tulare,0,2016,mazda,cx-5,gas,35757,manual,full-size,SUV,ca
69184,7315927023,visalia-tulare,0,2017,kia,optima 4dr sdn lx,gas,66415,automatic,full-size,sedan,ca
69185,7315899457,visalia-tulare,0,2019,rover,sport,gas,34716,automatic,full-size,SUV,ca
69186,7315868907,visalia-tulare,0,2020,kia,forte,gas,2859,automatic,full-size,sedan,ca
69187,7315850853,visalia-tulare,35950,2003,jeep,wrangler rubicon,gas,24216,automatic,mid-size,SUV,ca
69189,7315832771,visalia-tulare,0,2009,pontiac,g8 sedan,gas,83864,automatic,full-size,sedan,ca
69192,7315815030,visalia-tulare,0,2013,honda,accord ex-l sedan,gas,94108,automatic,full-size,sedan,ca
69193,7315799309,visalia-tulare,14900,2017,volkswagen,jetta,gas,58000,automatic,compact,sedan,ca
69198,7315780814,visalia-tulare,0,2015,chrysler,300 300s sedan 4d,gas,76610,automatic,full-size,sedan,ca
69201,7315635456,visalia-tulare,9597,2014,kia,optima,gas,145789,automatic,mid-size,sedan,ca
69203,7315635347,visalia-tulare,9663,2016,hyundai,elantra,gas,106992,automatic,mid-size,sedan,ca
69204,7315635265,visalia-tulare,12208,2012,honda,accord sdn,gas,62095,automatic,mid-size,sedan,ca
69206,7315600772,visalia-tulare,4000,2006,hyundai,sonata,gas,207000,automatic,compact,sedan,ca
69208,7315548268,visalia-tulare,0,2014,jeep,wrangler sahara 4wd,gas,83862,automatic,full-size,offroad,ca
69209,7315525915,visalia-tulare,0,2017,chevrolet,silverado 1500 lt 4x4,gas,79384,automatic,full-size,offroad,ca
69212,7315505040,visalia-tulare,0,2018,kia,optima,gas,38326,automatic,full-size,sedan,ca
69217,7315492110,visalia-tulare,0,2017,honda,accord sport sedan 4d,gas,25498,automatic,full-size,sedan,ca
69220,7315473582,visalia-tulare,0,2020,kia,sportage,gas,21187,automatic,full-size,SUV,ca
69221,7315456551,visalia-tulare,26500,1968,datsun,2000 roadster,gas,44500,manual,compact,convertible,ca
69224,7315439551,visalia-tulare,0,2014,jeep,compass,gas,64373,automatic,full-size,SUV,ca
69225,7315437886,visalia-tulare,0,2016,honda,crv ex awd,gas,87775,automatic,mid-size,SUV,ca
69229,7315389899,visalia-tulare,0,2011,toyota,scion xb wgn,gas,133742,automatic,mid-size,SUV,ca
69231,7315383647,visalia-tulare,13995,2007,honda,ridgeline rtl,gas,125829,automatic,full-size,truck,ca
69234,7315368075,visalia-tulare,13995,2016,kia,optima ex,gas,102271,automatic,mid-size,sedan,ca
69241,7315362624,visalia-tulare,10995,2002,bmw,5 series 540i,gas,79189,automatic,mid-size,sedan,ca
69244,7315316073,visalia-tulare,0,2013,subaru,impreza wrx limited,gas,76108,manual,compact,hatchback,ca
69249,7315106729,visalia-tulare,42995,2018,ford,f-150 platinum,gas,61897,automatic,full-size,truck,ca
69250,7315106227,visalia-tulare,10995,2014,ford,edge sel,gas,100217,automatic,mid-size,SUV,ca
69251,7315105286,visalia-tulare,6995,2010,honda,accord ex-l 2.4,gas,207798,manual,mid-size,sedan,ca
69253,7315084691,visalia-tulare,10000,2010,toyota,prius,hybrid,94000,automatic,compact,hatchback,ca
69254,7315070275,visalia-tulare,0,2010,toyota,highlander limited,gas,143067,automatic,mid-size,SUV,ca
69255,7315027464,visalia-tulare,0,2016,honda,accord ex sedan,gas,52396,automatic,full-size,sedan,ca
69256,7315022615,visalia-tulare,0,2018,jeep,wrangler unlimited,gas,63189,automatic,full-size,SUV,ca
69257,7314988105,visalia-tulare,0,2020,jeep,cherokee,gas,29567,automatic,full-size,SUV,ca
69258,7314954533,visalia-tulare,12500,2016,honda,accord,gas,45500,automatic,full-size,sedan,ca
69259,7314953629,visalia-tulare,0,2018,infiniti,q50,gas,22162,automatic,full-size,sedan,ca
69298,7314684064,visalia-tulare,5000,2004,bmw,530i,gas,110000,automatic,mid-size,sedan,ca
69299,7314656552,visalia-tulare,8500,2008,mercedes-benz,benz c300,gas,160423,automatic,compact,other,ca
69304,7314583671,visalia-tulare,0,2013,hyundai,sonata limited sedan 4d,gas,58572,automatic,mid-size,sedan,ca
69305,7314567384,visalia-tulare,4700,2011,chevrolet,impala,gas,167000,automatic,full-size,sedan,ca
69316,7314522887,visalia-tulare,0,2020,hyundai,kona,gas,32193,automatic,full-size,SUV,ca
69317,7314493730,visalia-tulare,0,2016,ford,expedition limited,gas,61738,automatic,full-size,SUV,ca
69318,7314489680,visalia-tulare,0,2020,hyundai,tucson,gas,20244,automatic,full-size,SUV,ca
69319,7314455369,visalia-tulare,0,2019,hyundai,sonata,gas,41503,automatic,full-size,sedan,ca
69327,7314169636,visalia-tulare,21750,2003,ram,2500 4x4,gas,110700,automatic,full-size,truck,ca
69335,7314039688,visalia-tulare,0,2017,honda,pilot,gas,32702,automatic,full-size,SUV,ca
69339,7313971868,visalia-tulare,0,2017,honda,civic,gas,38755,automatic,full-size,sedan,ca
69370,7313605969,visalia-tulare,19995,2015,lincoln,mkc reserve,gas,58469,automatic,mid-size,SUV,ca
69371,7313585913,visalia-tulare,18995,2018,ford,edge sel,gas,107136,automatic,mid-size,SUV,ca
69373,7313577712,visalia-tulare,12995,2016,volkswagen,passat 1.8t se,gas,66232,automatic,mid-size,sedan,ca
69376,7313539255,visalia-tulare,0,2019,ford,fusion,gas,35015,automatic,full-size,sedan,ca
69391,7313506241,visalia-tulare,0,2018,ford,edge,gas,55409,automatic,full-size,SUV,ca
69392,7313470380,visalia-tulare,0,2020,chevrolet,silverado 1500 crew cab,gas,35082,automatic,full-size,truck,ca
69404,7313366465,visalia-tulare,12500,2000,ford,f-350 super duty lariat,diesel,316000,automatic,full-size,truck,ca
69409,7313189312,visalia-tulare,20995,2009,toyota,tacoma prerunner v6,gas,143661,automatic,mid-size,truck,ca
69413,7313101505,visalia-tulare,20000,2017,nissan,titan,gas,46600,automatic,full-size,truck,ca
69421,7312897796,visalia-tulare,7995,2010,nissan,versa,gas,104118,automatic,compact,sedan,ca
69435,7312611327,visalia-tulare,8000,2003,gmc,yukon slt 4x4,gas,227000,automatic,full-size,SUV,ca
69440,7312519455,visalia-tulare,0,2021,chevrolet,trailblazer,gas,21275,automatic,full-size,SUV,ca
69441,7312488665,visalia-tulare,0,2016,chevrolet,cruze limited,gas,94127,automatic,full-size,sedan,ca
69442,7312455375,visalia-tulare,0,2019,chevrolet,equinox,gas,83979,automatic,full-size,SUV,ca
69453,7312161233,visalia-tulare,21500,2015,chevrolet,silverado 1500,gas,50000,automatic,full-size,truck,ca
69455,7312074451,visalia-tulare,0,2020,chevrolet,malibu,gas,29832,automatic,full-size,sedan,ca
69456,7312041832,visalia-tulare,0,2016,chevrolet,tahoe,gas,83034,automatic,full-size,SUV,ca
69458,7312005930,visalia-tulare,0,2017,buick,enclave,gas,48112,automatic,full-size,SUV,ca
69475,7311748589,visalia-tulare,13997,2014,ford,explorer,gas,116553,automatic,full-size,SUV,ca
69476,7311748555,visalia-tulare,20997,2013,ford,f-150,gas,115836,automatic,full-size,pickup,ca
69477,7311748533,visalia-tulare,8997,2010,ford,mustang,gas,175814,automatic,sub-compact,coupe,ca
69478,7311748499,visalia-tulare,11597,2014,lexus,ct 200h,hybrid,125270,automatic,compact,sedan,ca
69480,7311735061,visalia-tulare,50000,2015,chevrolet,ss,gas,42700,automatic,full-size,sedan,ca
69481,7311728471,visalia-tulare,16950,2012,volkswagen,touareg,diesel,111005,automatic,full-size,SUV,ca
69483,7311725876,visalia-tulare,22995,2012,toyota,tacoma trd prerunner,gas,143885,automatic,mid-size,truck,ca
69488,7311573239,visalia-tulare,12995,2014,volkswagen,jetta se,gas,63315,automatic,mid-size,sedan,ca
69489,7311572974,visalia-tulare,0,2015,acura,rdx,gas,45191,automatic,full-size,SUV,ca
69490,7311537628,visalia-tulare,0,2018,toyota,tacoma double cab,gas,34068,automatic,full-size,truck,ca
69492,7311501540,visalia-tulare,0,2017,toyota,highlander,gas,48778,automatic,full-size,SUV,ca
69495,7311456502,visalia-tulare,8900,2001,ram,2500,gas,45000,automatic,full-size,truck,ca
69511,7311201316,visalia-tulare,12000,1963,ford,f100,gas,122000,manual,full-size,pickup,ca
69519,7311056440,visalia-tulare,0,2020,nissan,maxima,gas,30549,automatic,full-size,sedan,ca
69520,7311022574,visalia-tulare,0,2018,nissan,pathfinder,gas,16578,automatic,full-size,SUV,ca
69522,7310986571,visalia-tulare,0,2019,nissan,sentra,gas,45443,automatic,full-size,sedan,ca
69543,7310550437,visalia-tulare,0,2018,mercedes-benz,c-class,gas,8303,automatic,full-size,sedan,ca
69544,7310516209,visalia-tulare,0,2016,mazda,cx-5,gas,35757,manual,full-size,SUV,ca
69545,7310479719,visalia-tulare,0,2019,rover,sport,gas,28891,automatic,full-size,SUV,ca
69564,7310182127,visalia-tulare,9000,2013,ford,transit connect xlt,gas,149268,automatic,mid-size,mini-van,ca
69568,7310152726,visalia-tulare,16500,2017,kia,sorento,gas,120000,automatic,mid-size,SUV,ca
69570,7310130658,visalia-tulare,27995,2018,ford,edge titanium,gas,45613,automatic,mid-size,SUV,ca
69574,7310034164,visalia-tulare,0,2020,kia,forte,gas,2859,automatic,full-size,sedan,ca
69575,7310012744,visalia-tulare,19995,2015,nissan,murano sl,gas,62981,automatic,mid-size,SUV,ca
69576,7310000530,visalia-tulare,0,2018,kia,optima,gas,38326,automatic,full-size,sedan,ca
69577,7309980902,visalia-tulare,29995,2015,toyota,tacoma prerunner trd rwd,gas,65372,automatic,mid-size,truck,ca
69578,7309968615,visalia-tulare,9000,2013,chrysler,town & country,gas,124800,automatic,full-size,van,ca
69579,7309964425,visalia-tulare,0,2020,kia,sportage,gas,21187,automatic,full-size,SUV,ca
69598,7309635336,visalia-tulare,10000,2008,subaru,impreza wrx,gas,176759,manual,sub-compact,hatchback,ca
69601,7309528867,visalia-tulare,21995,2013,chevrolet,silverado 1500 ltz,gas,147683,automatic,full-size,truck,ca
69602,7309440192,visalia-tulare,69995,2017,ford,super duty f-250 srw lariat,diesel,27216,automatic,full-size,truck,ca
69618,7309102848,visalia-tulare,10500,2007,gmc,yukon slt,gas,146000,automatic,full-size,SUV,ca
69619,7309073191,visalia-tulare,48000,2016,ram,2500 tradesman 4x4,diesel,48500,automatic,full-size,truck,ca
69620,7309047047,visalia-tulare,55000,2016,ram,2500 tradesman 4x4,diesel,48500,automatic,full-size,truck,ca
69621,7309040947,visalia-tulare,31995,2012,toyota,tundra trd 4x4,gas,67580,automatic,full-size,truck,ca
69623,7308938375,visalia-tulare,0,2014,jeep,compass,gas,64373,automatic,full-size,SUV,ca
69624,7308917605,visalia-tulare,1000,2005,toyota,tacoma,gas,149000,automatic,mid-size,truck,ca
69625,7308906701,visalia-tulare,0,2018,jeep,wrangler unlimited,gas,63189,automatic,full-size,SUV,ca
69626,7308875968,visalia-tulare,6999,2009,toyota,camry se,gas,151500,automatic,mid-size,sedan,ca
69645,7308562666,visalia-tulare,7995,2008,chevrolet,impala,gas,126251,automatic,mid-size,sedan,ca
69646,7308552757,visalia-tulare,18000,2007,gmc,yukon denali,gas,84000,automatic,full-size,SUV,ca
69648,7308471672,visalia-tulare,0,2020,jeep,cherokee,gas,29567,automatic,full-size,SUV,ca
69649,7308437534,visalia-tulare,0,2018,infiniti,q50,gas,22162,automatic,full-size,sedan,ca
69650,7308436853,visalia-tulare,12500,2012,buick,lacrosse leather sedan 4d,gas,57500,automatic,mid-size,sedan,ca
69652,7308400654,visalia-tulare,0,2020,hyundai,kona,gas,32193,automatic,full-size,SUV,ca
69667,7308079139,visalia-tulare,6000,1970,chevrolet,caprice,gas,100000,automatic,full-size,coupe,ca
69675,7308029654,visalia-tulare,21000,2013,bmw,x5 50i,gas,62009,automatic,mid-size,SUV,ca
69695,7308002702,visalia-tulare,4700,2013,dodge,avenger,gas,111000,automatic,mid-size,sedan,ca
69704,7307942988,visalia-tulare,2000,1993,buick,century,gas,134000,automatic,full-size,sedan,ca
69705,7307940558,visalia-tulare,0,2020,hyundai,tucson,gas,20244,automatic,full-size,SUV,ca
69706,7307905340,visalia-tulare,0,2019,hyundai,sonata,gas,41503,automatic,full-size,sedan,ca
69708,7307867710,visalia-tulare,0,2019,hyundai,elantra,gas,39736,automatic,full-size,sedan,ca
69709,7307866654,visalia-tulare,4500,2013,kia,rio gdi,gas,108000,automatic,mid-size,sedan,ca
69711,7307838278,visalia-tulare,39995,2017,ford,explorer platinum,gas,16456,automatic,mid-size,SUV,ca
69712,7307809685,visalia-tulare,9995,2011,kia,sorento ex,gas,117160,automatic,mid-size,SUV,ca
69715,7307778036,visalia-tulare,35995,2019,ford,ranger xlt,gas,1279,automatic,mid-size,truck,ca
69716,7307572877,visalia-tulare,9500,2005,chevrolet,avalanche,gas,177000,automatic,full-size,pickup,ca
69722,7307408812,visalia-tulare,0,2020,hyundai,santa fe,gas,28121,automatic,full-size,SUV,ca
69723,7307336939,visalia-tulare,0,2019,honda,civic,gas,39085,automatic,full-size,sedan,ca
69738,7307033339,visalia-tulare,5000,2005,toyota,4runner sr5,gas,176000,automatic,full-size,SUV,ca
69739,7306983185,visalia-tulare,374,2013,dodge,challenger,gas,71027,automatic,mid-size,coupe,ca
69742,7306891621,visalia-tulare,0,2020,honda,civic,gas,8440,automatic,full-size,sedan,ca
69743,7306856588,visalia-tulare,0,2017,honda,civic,gas,38755,automatic,full-size,sedan,ca
69744,7306847384,visalia-tulare,6500,2008,lexus,es350,gas,109000,automatic,mid-size,sedan,ca
69745,7306820771,visalia-tulare,0,2018,honda,accord,gas,41067,automatic,full-size,sedan,ca
69757,7306515427,visalia-tulare,5500,2013,chrysler,town & country,gas,190000,automatic,mid-size,mini-van,ca
69759,7306487045,visalia-tulare,11000,2002,gmc,sierra 2500hd,diesel,370000,automatic,full-size,truck,ca
69763,7306374631,visalia-tulare,0,2019,ford,fusion,gas,35015,automatic,full-size,sedan,ca
69764,7306359863,visalia-tulare,32995,2017,lincoln,continental reserve,gas,41083,automatic,full-size,sedan,ca
69767,7306339853,visalia-tulare,0,2018,ford,edge,gas,55409,automatic,full-size,SUV,ca
69768,7306302705,visalia-tulare,0,2018,ford,fusion,gas,73601,automatic,full-size,sedan,ca
69785,7306220510,visalia-tulare,35000,1933,ford,vicky,gas,0,automatic,compact,coupe,ca
69786,7306209980,visalia-tulare,15995,2017,ford,escape s,gas,59595,automatic,compact,SUV,ca
69787,7306201924,visalia-tulare,10999,2000,toyota,tundra 4x4,gas,220000,automatic,full-size,truck,ca
69798,7305927258,visalia-tulare,20995,2018,ford,escape sel,gas,59715,automatic,compact,SUV,ca
69799,7305867758,visalia-tulare,10995,2014,ford,edge sel,gas,117055,automatic,mid-size,SUV,ca
69801,7305862357,visalia-tulare,51995,2018,chevrolet,tahoe premier,gas,42317,automatic,full-size,SUV,ca
69815,7305362347,visalia-tulare,3500,2003,chevrolet,suburban z71,gas,280000,automatic,full-size,SUV,ca
69817,7305310668,visalia-tulare,0,2016,dodge,challenger,gas,67103,automatic,full-size,sedan,ca
69820,7305277651,visalia-tulare,0,2018,dodge,grand caravan passenger,gas,70818,automatic,full-size,other,ca
69833,7305012921,visalia-tulare,10000,2010,toyota,prius,hybrid,94000,automatic,compact,hatchback,ca
69834,7304998058,visalia-tulare,2499,1996,ford,ranger,gas,150000,automatic,mid-size,truck,ca
69836,7304892058,visalia-tulare,0,2020,chevrolet,silverado 1500 crew cab,gas,35082,automatic,full-size,truck,ca
69837,7304859472,visalia-tulare,0,2021,chevrolet,trailblazer,gas,21275,automatic,full-size,SUV,ca
69838,7304822867,visalia-tulare,0,2016,chevrolet,cruze limited,gas,94127,automatic,full-size,sedan,ca
69840,7304781623,visalia-tulare,2000,2004,toyota,corolla s,gas,200000,automatic,compact,sedan,ca
69850,7304614274,visalia-tulare,6500,2007,cadillac,cts,gas,132000,automatic,mid-size,sedan,ca
69851,7304562268,visalia-tulare,9000,2001,gmc,sierra 1500 sle z71,gas,210000,automatic,full-size,truck,ca
69857,7304452635,visalia-tulare,9000,1971,chevrolet,corvette,gas,55789,automatic,compact,coupe,ca
69859,7304400439,visalia-tulare,9000,1966,chevrolet,c10 truck,gas,190000,automatic,full-size,pickup,ca
69860,7304386187,visalia-tulare,31995,2017,ford,f-150 xlt,gas,111574,automatic,full-size,truck,ca
69861,7304380789,visalia-tulare,0,2017,chevrolet,malibu,gas,50196,automatic,full-size,sedan,ca
69862,7304373093,visalia-tulare,51995,2018,ford,f-150 lariat,gas,19920,automatic,full-size,truck,ca
69863,7304346555,visalia-tulare,0,2019,chevrolet,equinox,gas,83979,automatic,full-size,SUV,ca
69864,7304309780,visalia-tulare,0,2020,chevrolet,malibu,gas,29832,automatic,full-size,sedan,ca
69878,7304007474,visalia-tulare,31995,2012,toyota,tundra trd 4x4,gas,67580,automatic,full-size,truck,ca
69882,7303897803,visalia-tulare,20000,2020,honda,civic lx,gas,36350,automatic,compact,hatchback,ca
69908,7303861663,visalia-tulare,0,2014,chevrolet,silverado 1500 crew cab,gas,100731,automatic,full-size,truck,ca
69909,7303827971,visalia-tulare,0,2016,chevrolet,traverse,gas,33645,automatic,full-size,SUV,ca
69910,7303791779,visalia-tulare,0,2016,chevrolet,tahoe,gas,83034,automatic,full-size,SUV,ca
69915,7303761978,visalia-tulare,8200,2015,nissan,altima,gas,145000,automatic,mid-size,sedan,ca
69918,7303719964,visalia-tulare,12000,2005,ford,f-150 xlt 4x4,gas,110000,automatic,full-size,truck,ca
69923,7303430698,visalia-tulare,4900,2005,gmc,yukon xl,gas,187000,automatic,full-size,SUV,ca
69932,7303424833,visalia-tulare,4950,2014,chrysler,200,gas,160000,automatic,full-size,sedan,ca
69935,7303340788,visalia-tulare,0,2020,chevrolet,silverado 1500 crew cab,gas,29561,automatic,full-size,truck,ca
69936,7303305696,visalia-tulare,0,2017,buick,encore,gas,23311,automatic,full-size,SUV,ca
69939,7303269351,visalia-tulare,0,2017,buick,enclave,gas,48112,automatic,full-size,SUV,ca
69959,7302858257,visalia-tulare,9995,2014,kia,soul +,gas,87397,automatic,compact,SUV,ca
69960,7302842142,visalia-tulare,40995,2018,toyota,4runner sr5,gas,24359,automatic,mid-size,SUV,ca
69962,7302819057,visalia-tulare,0,2018,bmw,3 series,gas,31544,automatic,full-size,sedan,ca
69963,7302783691,visalia-tulare,0,2015,acura,rdx,gas,45191,automatic,full-size,SUV,ca
69987,7302439109,visalia-tulare,0,2016,bmw,535i,gas,76000,automatic,full-size,sedan,ca
69988,7302405330,visalia-tulare,28900,2018,kia,sorento,gas,23381,automatic,mid-size,SUV,ca
69990,7302246981,visalia-tulare,34995,2017,chevrolet,colorado z71,gas,21195,automatic,mid-size,truck,ca
69991,7302236988,visalia-tulare,26995,2017,ford,f-150 xlt,gas,110130,automatic,full-size,truck,ca
69992,7302225222,visalia-tulare,12995,2016,ford,fusion s,gas,63591,automatic,mid-size,sedan,ca
69997,7302196869,visalia-tulare,31995,2016,toyota,tacoma limited v6,gas,92008,automatic,mid-size,truck,ca
69998,7302196373,visalia-tulare,17995,2014,ford,explorer limited,gas,86189,automatic,mid-size,SUV,ca
69999,7302192653,visalia-tulare,19995,2017,toyota,prius prime advanced,hybrid,44632,automatic,compact,hatchback,ca
70001,7302171535,visalia-tulare,19000,2014,bmw,750i,gas,96600,automatic,full-size,sedan,ca
70005,7302160540,visalia-tulare,12000,1996,cadillac,fleetwood brougham,gas,86000,automatic,full-size,sedan,ca
70020,7301793848,visalia-tulare,0,2016,chevrolet,traverse,gas,33645,automatic,full-size,SUV,ca
70021,7301762543,visalia-tulare,0,2020,chevrolet,silverado 1500,gas,29561,automatic,full-size,truck,ca
70024,7301729026,visalia-tulare,0,2020,chevrolet,malibu,gas,29832,automatic,full-size,sedan,ca
70038,7316935425,yuba-sutter,2995,2002,saturn,l200,gas,136000,automatic,compact,sedan,ca
70039,7316934358,yuba-sutter,29999,2010,dodge,challenger,gas,60390,manual,mid-size,coupe,ca
70040,7316934187,yuba-sutter,12999,2007,chrysler,300-series,gas,178987,automatic,full-size,sedan,ca
70041,7316927583,yuba-sutter,17999,2013,chevrolet,tahoe,gas,162842,automatic,full-size,SUV,ca
70042,7316927455,yuba-sutter,23999,2013,ford,super duty f-250 srw,diesel,223679,automatic,full-size,pickup,ca
70044,7316927321,yuba-sutter,31999,2014,toyota,fj cruiser,gas,131270,automatic,full-size,SUV,ca
70045,7316927279,yuba-sutter,12500,2008,chevrolet,silverado 1500,gas,201674,automatic,full-size,pickup,ca
70046,7316927141,yuba-sutter,26999,2014,audi,a7,gas,56603,automatic,mid-size,sedan,ca
70047,7316927143,yuba-sutter,45999,2014,chevrolet,silverado 2500hd,diesel,124497,automatic,full-size,pickup,ca
70048,7316927003,yuba-sutter,16999,2015,chevrolet,silverado 2500hd built after aug 14,gas,149353,automatic,full-size,pickup,ca
70049,7316927010,yuba-sutter,13999,2006,ford,ranger,gas,145312,manual,full-size,pickup,ca
70050,7316926892,yuba-sutter,10999,2010,acura,tsx,gas,116444,automatic,compact,sedan,ca
70051,7316926865,yuba-sutter,14999,2011,ford,f-150,gas,213840,automatic,full-size,pickup,ca
70052,7316926718,yuba-sutter,13999,2014,ford,escape,gas,93894,automatic,full-size,SUV,ca
70053,7316926713,yuba-sutter,8999,2006,lexus,gs 300,gas,148126,automatic,mid-size,sedan,ca
70055,7316926530,yuba-sutter,10999,2006,lexus,is 350,gas,163856,automatic,sub-compact,sedan,ca
70056,7316926402,yuba-sutter,9999,2009,gmc,acadia,gas,113077,automatic,full-size,SUV,ca
70057,7316926369,yuba-sutter,18999,2016,ford,flex,gas,60906,automatic,full-size,SUV,ca
70059,7316926224,yuba-sutter,16999,2010,chevrolet,tahoe,gas,133138,automatic,full-size,SUV,ca
70060,7316926105,yuba-sutter,6999,2006,acura,tsx,gas,244405,automatic,compact,sedan,ca
70061,7316926085,yuba-sutter,19999,2016,infiniti,q50,gas,55769,automatic,mid-size,sedan,ca
70062,7316925963,yuba-sutter,9999,2001,ford,excursion,gas,139263,automatic,full-size,SUV,ca
70063,7316925938,yuba-sutter,8999,2014,ford,focus,gas,68974,automatic,compact,sedan,ca
70064,7316925819,yuba-sutter,12999,2012,acura,tl,gas,120865,automatic,mid-size,sedan,ca
70065,7316925793,yuba-sutter,21999,2012,toyota,tundra,gas,86470,automatic,full-size,pickup,ca
70066,7316925671,yuba-sutter,12999,2011,infiniti,g 37,gas,95710,automatic,compact,sedan,ca
70067,7316925630,yuba-sutter,10999,2012,ford,f-150,gas,204361,automatic,full-size,pickup,ca
70070,7316925393,yuba-sutter,10999,2009,lexus,es 350,gas,142273,automatic,compact,sedan,ca
70071,7316925358,yuba-sutter,3995,2003,ford,escape xlt,gas,239000,automatic,compact,SUV,ca
70072,7316925261,yuba-sutter,34999,2018,ford,f-150,gas,61959,automatic,full-size,pickup,ca
70073,7316925094,yuba-sutter,16999,2013,ford,super duty f-250 srw,gas,144987,automatic,full-size,pickup,ca
70074,7316924894,yuba-sutter,18999,2009,jeep,wrangler unlimited,gas,130520,automatic,full-size,SUV,ca
70075,7316924716,yuba-sutter,22999,2014,ford,f-150,gas,133508,automatic,full-size,pickup,ca
70076,7316924569,yuba-sutter,42999,2014,ram,2500,diesel,72395,automatic,full-size,pickup,ca
70077,7316924421,yuba-sutter,6999,2003,lexus,gs 300,gas,167510,automatic,mid-size,sedan,ca
70081,7316923814,yuba-sutter,12999,2012,ford,transit connect wagon,gas,109490,automatic,full-size,mini-van,ca
70082,7316923679,yuba-sutter,8999,2014,volkswagen,cc,gas,122842,automatic,compact,sedan,ca
70083,7316923510,yuba-sutter,30999,2016,toyota,4runner,gas,103345,automatic,full-size,SUV,ca
70084,7316923335,yuba-sutter,18999,2013,rover,sport,gas,99743,automatic,full-size,SUV,ca
70086,7316918407,yuba-sutter,6995,2004,ford,f150 super cab,gas,192000,automatic,full-size,pickup,ca
70087,7316916131,yuba-sutter,31999,2011,lexus,lx 570,gas,107726,automatic,full-size,SUV,ca
70088,7316915911,yuba-sutter,12999,2005,toyota,sequoia,gas,138189,automatic,full-size,SUV,ca
70089,7316915703,yuba-sutter,16999,2012,ford,super duty f-250 srw,gas,160264,automatic,full-size,pickup,ca
70090,7316915504,yuba-sutter,18999,2013,rover,sport,gas,100009,automatic,full-size,SUV,ca
70091,7316915271,yuba-sutter,9999,2004,ford,f-150,gas,254252,automatic,full-size,pickup,ca
70092,7316915122,yuba-sutter,16999,2013,subaru,impreza sedan wrx,gas,102475,manual,sub-compact,sedan,ca
70094,7316914684,yuba-sutter,17999,2014,dodge,charger,gas,58996,automatic,full-size,sedan,ca
70095,7316914478,yuba-sutter,12999,2013,cadillac,ats,gas,101196,automatic,compact,sedan,ca
70096,7316914262,yuba-sutter,36999,2017,mercedes-benz,gls,gas,111689,automatic,full-size,SUV,ca
70097,7316914055,yuba-sutter,8999,2011,subaru,outback,gas,169634,automatic,mid-size,wagon,ca
70098,7316913867,yuba-sutter,11999,2011,bmw,7-series,gas,132984,automatic,full-size,sedan,ca
